                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75975,                 0.9475,                 1.0588,                0.72103,                0.60993,                0.62749,                0.47481,                0.74503,                 1.1758,                 1.0032,             0.00055433,             0.00055433,             0.00055433
                      2,                 0.8232,                0.80397,                 1.0916,                0.79146,                  0.643,                0.67731,                0.49986,                0.79585,                 0.7797,                 1.0269,              0.0010734,              0.0010734,              0.0010734
                      3,                0.78063,                0.75096,                 1.0721,                0.84463,                0.66151,                0.71466,                 0.5597,                0.68947,                0.66495,                 0.9199,              0.0015557,              0.0015557,              0.0015557
                      4,                0.71959,                 0.6641,                 1.0362,                0.87358,                0.69234,                0.74995,                0.60081,                0.62046,                0.54732,                0.89893,               0.001502,               0.001502,               0.001502
                      5,                 0.6739,                0.61201,                 1.0216,                0.87846,                0.73327,                0.77508,                0.63125,                0.55015,                0.48437,                0.86156,               0.001502,               0.001502,               0.001502
                      6,                0.63517,                0.56381,                 0.9961,                0.89085,                0.73847,                0.79038,                0.65215,                0.51472,                0.45894,                0.84029,               0.001447,               0.001447,               0.001447
                      7,                 0.5948,                0.51797,                0.97513,                0.90878,                 0.7325,                0.79296,                0.65565,                0.50989,                0.45947,                0.83097,              0.0013919,              0.0013919,              0.0013919
                      8,                 0.5662,                0.49463,                0.96216,                0.90059,                0.76978,                0.80301,                0.68103,                0.44998,                0.37984,                0.81157,              0.0013369,              0.0013369,              0.0013369
                      9,                0.53866,                0.45815,                0.95449,                0.91144,                0.77399,                 0.8179,                0.69509,                0.44789,                0.36152,                 0.8215,              0.0012819,              0.0012819,              0.0012819
                     10,                0.52185,                0.45108,                0.94808,                 0.9308,                0.77213,                0.82537,                  0.712,                0.41178,                0.34999,                0.79145,              0.0012269,              0.0012269,              0.0012269
                     11,                0.50534,                0.43232,                0.93585,                0.93315,                0.78508,                0.83389,                0.71978,                 0.4024,                0.33206,                0.78234,              0.0011719,              0.0011719,              0.0011719
                     12,                0.48909,                0.41645,                0.92955,                0.92412,                0.78225,                0.83248,                0.72966,                0.38801,                0.31864,                0.78632,              0.0011169,              0.0011169,              0.0011169
                     13,                0.47204,                0.40388,                0.92201,                0.92884,                0.78134,                 0.8309,                0.72376,                0.38314,                0.31465,                0.77618,              0.0010619,              0.0010619,              0.0010619
                     14,                0.46569,                0.38739,                0.91951,                0.93265,                 0.7923,                0.83604,                0.73441,                0.36363,                 0.2962,                0.77075,              0.0010069,              0.0010069,              0.0010069
                     15,                0.45276,                0.38063,                0.91542,                0.94776,                0.79421,                0.84701,                0.74563,                0.34008,                0.28931,                0.76706,             0.00095186,             0.00095186,             0.00095186
                     16,                 0.4388,                0.36459,                0.90852,                0.95263,                0.79955,                0.84982,                0.75409,                0.34225,                0.28281,                0.76383,             0.00089685,             0.00089685,             0.00089685
                     17,                0.42533,                0.36171,                 0.9051,                0.94228,                0.80953,                0.85093,                0.75556,                0.33072,                0.27388,                0.75682,             0.00084184,             0.00084184,             0.00084184
                     18,                0.41618,                0.34673,                0.89954,                 0.9536,                0.80527,                0.85878,                0.76897,                0.31954,                0.26497,                0.76729,             0.00078682,             0.00078682,             0.00078682
                     19,                0.40611,                0.33515,                0.89492,                0.95572,                0.80838,                0.85503,                0.76352,                0.30955,                0.25048,                0.75119,             0.00073181,             0.00073181,             0.00073181
                     20,                0.39779,                0.32785,                0.89143,                0.95033,                0.81217,                0.85169,                0.76468,                0.30689,                0.24342,                0.75173,              0.0006768,              0.0006768,              0.0006768
                     21,                0.39182,                0.30508,                0.86525,                0.95455,                0.80623,                0.85734,                0.76412,                0.32467,                0.26527,                0.75254,             0.00062179,             0.00062179,             0.00062179
                     22,                0.38478,                0.29372,                 0.8644,                0.95459,                0.81807,                0.86325,                0.77302,                0.31085,                0.25143,                0.75174,             0.00056678,             0.00056678,             0.00056678
                     23,                0.37257,                0.28605,                0.85755,                0.94844,                0.81453,                0.85988,                0.77239,                0.30749,                0.24613,                0.74934,             0.00051177,             0.00051177,             0.00051177
                     24,                0.35866,                0.27629,                0.85318,                0.94718,                0.82293,                0.86256,                0.77457,                 0.2984,                0.23585,                0.74498,             0.00045676,             0.00045676,             0.00045676
                     25,                 0.3495,                0.26615,                0.85249,                0.95569,                0.82397,                0.86977,                 0.7828,                0.29474,                0.23564,                0.74848,             0.00040175,             0.00040175,             0.00040175
                     26,                0.33938,                0.25726,                0.85067,                0.95741,                0.81046,                0.86268,                0.78277,                0.27716,                0.22485,                0.74621,             0.00034674,             0.00034674,             0.00034674
                     27,                0.32338,                0.24486,                 0.8418,                0.96112,                0.81827,                0.87049,                0.79568,                0.27013,                  0.215,                0.73807,             0.00029172,             0.00029172,             0.00029172
                     28,                0.31135,                 0.2358,                0.83699,                0.94481,                0.82762,                0.86954,                0.79572,                0.26196,                0.20975,                0.73746,             0.00023671,             0.00023671,             0.00023671
                     29,                0.30085,                0.22674,                  0.835,                0.95991,                0.82793,                0.87516,                0.80243,                 0.2507,                0.20157,                0.73232,              0.0001817,              0.0001817,              0.0001817
                     30,                0.29202,                0.21692,                0.83367,                0.95901,                0.82948,                0.87703,                0.80266,                0.24786,                0.19745,                 0.7324,             0.00012669,             0.00012669,             0.00012669
